~~ DO NOT EDIT THE FIRST 2 LINES
~~ FORMAT: <channel name> | <group name> | <logo> | <tvg-id>

Anime Live | MOMO| https://yt3.ggpht.com/ytc/AKedOLQOwN2K7d9I6CnOcMz0s6b8oS2Rgeggkq6CQHE8=s176-c-k-c0x00ffffff-no-rj |
https://www.youtube.com/watch?v=NJvaGDTJEQU

Distrion & Electro-Light - Rubik [NCS Release] | NoCopyrightSounds | https://i.ytimg.com/vi_webp/A2AydJcUKR8/maxresdefault.webp | http://www.youtube.com/watch?v=A2AydJcUKR8

Dynasty Warriors Gundam~Gundam Musou Special OST 22 JUST COMMUNICATION | galaxynoatakara | https://i.ytimg.com/vi/Ca-Nv1YTTu4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_MTTAFfWVsN0YPkMi_908K1QqKg | http://www.youtube.com/watch?v=Ca-Nv1YTTu4

Kimi wa Boku Niteiru | Nakiatakai | https://i.ytimg.com/vi/5Qu7F_GDFK0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCs793CkZPcaFrs_vbhgzbHpzQH9A | http://www.youtube.com/watch?v=5Qu7F_GDFK0

Komaki-nagakute  xl2 version bgm | cd rom | https://i.ytimg.com/vi/25VYtwXsuZ4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCfUZRRRXltXAhS07f_Yr2NzUpA_Q | http://www.youtube.com/watch?v=25VYtwXsuZ4

Luna Haruna - Overfly | lunaharunaVEVO | https://i.ytimg.com/vi_webp/CpDyF4pkbAs/maxresdefault.webp | http://www.youtube.com/watch?v=CpDyF4pkbAs

Naruto Shippuden: Ultimate Ninja 5 OST - 06 - Tenchi Bridge | TheWorldOfOST | https://i.ytimg.com/vi_webp/ker708WxIH0/maxresdefault.webp | http://www.youtube.com/watch?v=ker708WxIH0

Oblivious (Anime MIX) (AX FINALIST!!!) | 1MoonGoddess7 (Lark) | https://i.ytimg.com/vi/OoAgJCUs55c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBOQBTWSP9hK66zES6dL8E3LE9mOw | http://www.youtube.com/watch?v=OoAgJCUs55c

Onmyoji【SSR不知火Shiranui】Song of the Offshore Island（ZH/JP/Romanization） | 5UNG | https://i.ytimg.com/vi/haOmwGNCgjM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATfgGXB29h4l8-vmhmQwU_uc7nhw | http://www.youtube.com/watch?v=haOmwGNCgjM

Yoiyami Rensou Kitan - Yoiyami Hanabi | Isanomi | https://i.ytimg.com/vi/EAsnFL7tsEM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAehrGxwJGpUc5q_Sdg1ZAsZR2bTQ | http://www.youtube.com/watch?v=EAsnFL7tsEM

[中文字幕]天月 おじゃま虫(麻煩鬼) | 天月-amatsuki- | https://i.ytimg.com/vi/og5WsAJnzOQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB2rzPGJsDbmbat06m-Wo-VGS_zrQ | http://www.youtube.com/watch?v=og5WsAJnzOQ

『Switching Vocal』(Azur Lane )悠久のカタルシス Full Ver. - Laffey, Javelin, Ayanami, Z23 歌詞 | nanaka | https://i.ytimg.com/vi_webp/UoM3MbBq-ls/maxresdefault.webp | http://www.youtube.com/watch?v=UoM3MbBq-ls

【HD】《Kaguya-sama: Love Is War》伊井野ミコ (CV. Miyu Tomita) - Othello (Character Song) | HSIANG PING Music | https://i.ytimg.com/vi_webp/NVJePAxIUd8/maxresdefault.webp?v=5eef4074 | http://www.youtube.com/watch?v=NVJePAxIUd8

【クレしん】21世紀を手に入れろ【耳コピ】 | るーず | https://i.ytimg.com/vi_webp/zql04hobqcM/maxresdefault.webp | http://www.youtube.com/watch?v=zql04hobqcM

【中文字幕】✿ 歌に形はないけれど - ユリカ / 花たん | 鳶尾花九月 | https://i.ytimg.com/vi_webp/Re6JJ_njYR4/maxresdefault.webp | http://www.youtube.com/watch?v=Re6JJ_njYR4

